                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.81248,                0.50432,                 1.0388,                0.88335,                0.83605,                0.90413,                0.62826,                 1.1198,                 0.6292,                 1.2153,               0.007822,               0.007822,               0.007822
                    113,                0.82022,                0.50375,                 1.0365,                0.92203,                0.84533,                0.91195,                0.63647,                 1.1005,                0.58887,                 1.1962,              0.0078022,              0.0078022,              0.0078022
                    114,                0.81124,                0.49227,                 1.0373,                0.91464,                0.83294,                0.90979,                0.63564,                 1.1039,                0.62224,                 1.1976,              0.0077824,              0.0077824,              0.0077824
                    115,                0.82231,                0.50551,                 1.0473,                0.89198,                0.85315,                 0.9129,                0.64089,                 1.0886,                0.58948,                 1.1913,              0.0077626,              0.0077626,              0.0077626
                    116,                 0.8117,                0.50515,                 1.0317,                0.89318,                0.82906,                0.90092,                0.62151,                 1.1217,                0.62884,                  1.212,              0.0077428,              0.0077428,              0.0077428
                    117,                 0.8127,                0.49972,                   1.04,                0.90199,                0.84693,                0.91232,                0.63696,                 1.0856,                0.60083,                 1.1922,               0.007723,               0.007723,               0.007723
                    118,                 0.8028,                0.48971,                 1.0302,                0.88714,                0.85392,                 0.9125,                0.64216,                 1.1054,                0.59273,                 1.2066,              0.0077032,              0.0077032,              0.0077032
                    119,                0.80959,                0.49342,                 1.0357,                0.91258,                0.83683,                0.91296,                 0.6462,                 1.1042,                0.57313,                 1.1879,              0.0076834,              0.0076834,              0.0076834
                    120,                0.81112,                0.48517,                 1.0277,                0.89272,                0.85159,                0.90992,                0.63476,                 1.0988,                0.59473,                 1.1831,              0.0076636,              0.0076636,              0.0076636
                    121,                0.80232,                0.48511,                 1.0274,                0.90213,                0.82364,                0.89696,                0.62793,                 1.1167,                0.63572,                 1.2029,              0.0076438,              0.0076438,              0.0076438
                    122,                0.80542,                0.49252,                 1.0332,                 0.8934,                0.84656,                0.91156,                0.64255,                 1.0888,                0.57785,                  1.199,               0.007624,               0.007624,               0.007624
                    123,                0.79663,                0.48343,                 1.0301,                0.88103,                0.86092,                0.91032,                0.63736,                 1.0906,                0.60659,                 1.1995,              0.0076042,              0.0076042,              0.0076042
                    124,                0.79046,                 0.4818,                 1.0233,                0.91252,                0.84149,                0.91152,                0.63906,                 1.1029,                0.59515,                 1.1896,              0.0075844,              0.0075844,              0.0075844
                    125,                0.79977,                0.47833,                 1.0237,                0.90647,                0.83061,                0.90602,                0.63657,                 1.0854,                0.61399,                 1.1948,              0.0075646,              0.0075646,              0.0075646
                    126,                0.78659,                0.48242,                 1.0197,                0.90323,                0.85315,                0.90833,                 0.6431,                 1.0724,                 0.5964,                 1.1851,              0.0075448,              0.0075448,              0.0075448
                    127,                0.78625,                0.48017,                  1.024,                0.90223,                0.84538,                0.90357,                 0.6258,                 1.1027,                0.59717,                 1.1989,               0.007525,               0.007525,               0.007525
                    128,                0.78199,                0.48209,                 1.0226,                0.91063,                0.84149,                0.91052,                0.63937,                 1.0824,                0.59157,                  1.191,              0.0075052,              0.0075052,              0.0075052
                    129,                0.77991,                0.47553,                 1.0238,                0.91316,                0.85792,                0.91711,                0.64155,                  1.098,                0.56729,                 1.1995,              0.0074854,              0.0074854,              0.0074854
                    130,                0.78222,                0.47379,                 1.0203,                0.90871,                0.84693,                0.91028,                0.64789,                 1.0864,                0.59507,                 1.1842,              0.0074656,              0.0074656,              0.0074656
                    131,                0.78094,                0.46806,                  1.016,                0.89886,                0.84932,                0.90923,                0.63648,                 1.1084,                  0.614,                 1.1872,              0.0074458,              0.0074458,              0.0074458
                    132,                0.77742,                0.47737,                 1.0169,                0.90084,                0.86115,                0.90994,                0.63501,                 1.0953,                0.59395,                 1.1907,               0.007426,               0.007426,               0.007426
                    133,                0.77023,                0.46393,                 1.0135,                0.90553,                0.81818,                0.89502,                0.63763,                 1.0993,                 0.6609,                 1.1966,              0.0074062,              0.0074062,              0.0074062
                    134,                0.78392,                0.47648,                 1.0195,                0.89756,                0.84071,                0.91259,                0.63627,                 1.1034,                0.59457,                 1.1896,              0.0073864,              0.0073864,              0.0073864
                    135,                0.77526,                0.46989,                 1.0203,                0.90497,                0.84615,                0.91472,                0.62823,                  1.105,                0.59981,                 1.2296,              0.0073666,              0.0073666,              0.0073666
                    136,                0.77014,                 0.4724,                 1.0225,                0.88072,                0.87776,                0.92183,                0.64284,                 1.0882,                0.57414,                 1.2135,              0.0073468,              0.0073468,              0.0073468
                    137,                0.76219,                0.46056,                  1.015,                0.90236,                0.84615,                0.91109,                0.63527,                 1.1113,                0.59918,                 1.2161,               0.007327,               0.007327,               0.007327
                    138,                 0.7635,                0.46403,                 1.0098,                0.90391,                0.86791,                0.91679,                 0.6408,                 1.1036,                0.58821,                 1.2015,              0.0073072,              0.0073072,              0.0073072
                    139,                 0.7761,                0.46603,                 1.0205,                0.89351,                0.84102,                0.90597,                0.62045,                 1.1313,                 0.6094,                 1.2202,              0.0072874,              0.0072874,              0.0072874
                    140,                0.77717,                0.47651,                 1.0194,                0.89257,                0.87879,                0.92021,                0.64102,                 1.0995,                0.57813,                 1.1989,              0.0072676,              0.0072676,              0.0072676
                    141,                0.77452,                0.47331,                 1.0159,                0.89814,                0.86558,                0.91033,                0.64503,                 1.0936,                  0.597,                 1.1967,              0.0072478,              0.0072478,              0.0072478
                    142,                0.76419,                0.46409,                 1.0074,                0.90954,                0.86718,                0.91997,                0.65247,                 1.0895,                0.56936,                 1.1959,               0.007228,               0.007228,               0.007228
                    143,                 0.7631,                0.47052,                 1.0096,                0.90998,                0.84771,                0.91142,                0.64219,                 1.0834,                0.59595,                 1.1801,              0.0072082,              0.0072082,              0.0072082
                    144,                0.76364,                0.46365,                 1.0142,                0.89537,                0.86402,                0.91778,                0.64653,                  1.081,                0.59027,                 1.1902,              0.0071884,              0.0071884,              0.0071884
                    145,                0.75828,                0.46468,                 1.0121,                0.91555,                0.85075,                0.91939,                0.64012,                 1.1002,                0.57768,                 1.2062,              0.0071686,              0.0071686,              0.0071686
                    146,                0.75962,                0.46598,                 1.0099,                0.92348,                0.81818,                0.91078,                0.62867,                 1.1155,                0.59783,                 1.2128,              0.0071488,              0.0071488,              0.0071488
                    147,                0.76779,                0.46114,                 1.0118,                0.93453,                0.84771,                0.91505,                0.65342,                 1.0748,                0.57197,                 1.1915,               0.007129,               0.007129,               0.007129
                    148,                0.74128,                0.45472,                 1.0083,                0.89139,                0.88423,                0.92158,                0.65244,                 1.0778,                 0.5626,                 1.1838,              0.0071092,              0.0071092,              0.0071092
                    149,                0.75822,                0.45573,                 1.0119,                0.89952,                0.86325,                0.91386,                0.64256,                 1.0922,                0.57544,                 1.2055,              0.0070894,              0.0070894,              0.0070894
                    150,                0.74729,                0.45018,                 1.0039,                  0.914,                0.82828,                0.89956,                0.63462,                 1.0905,                0.60688,                 1.2049,              0.0070696,              0.0070696,              0.0070696
                    151,                0.74706,                0.44841,                  1.003,                0.88546,                0.86636,                0.91303,                0.64386,                   1.09,                0.58906,                 1.1916,              0.0070498,              0.0070498,              0.0070498
                    152,                0.76365,                0.46222,                 1.0122,                0.90113,                0.80023,                0.88911,                 0.6183,                 1.1473,                0.69812,                 1.2357,                0.00703,                0.00703,                0.00703
                    153,                0.74318,                0.45398,                 1.0111,                0.89004,                0.85859,                0.90741,                0.64452,                 1.0828,                0.59568,                 1.1941,              0.0070102,              0.0070102,              0.0070102
                    154,                0.74772,                0.45372,                 1.0089,                 0.9195,                0.85703,                0.91516,                0.64523,                 1.0855,                0.57257,                 1.1993,              0.0069904,              0.0069904,              0.0069904
